,price,barrio,superficie_construida,n_habitaciones,n_baños,lujo,dist_metro,piscina,planta_edificio,prediccion_modelo,gap,garaje,terraza,es_chalet,zonas_verdes,es_exterior
162,2200000,Recoletos,220,2,3,Yes,Yes,No,3,3970000,1770000,Yes,No,No,No,Yes
151,2215000,Goya,302,4,4,Yes,Yes,No,2,3978448,1763448,No,No,No,No,Yes
3125,1600000,Argüelles,360,5,5,Yes,Yes,Yes,4,3100000,1500000,Yes,Yes,No,No,Yes
348,2600000,Recoletos,350,6,3,No,Yes,No,3,3950000,1350000,No,No,No,No,Yes
6980,1750000,El Plantío,1000,7,6,Yes,No,Yes,0,3100000,1350000,Yes,Yes,Yes,Yes,No
322,1190000,Lista,165,4,2,No,Yes,No,5,2265000,1075000,Yes,No,No,No,Yes
423,1550000,Recoletos,210,3,4,Yes,Yes,No,1,2600000,1050000,Yes,No,No,No,Yes
522,1150000,Recoletos,127,2,2,No,Yes,No,5,2198000,1048000,No,No,No,No,No
307,1190000,Goya,171,4,3,Yes,Yes,No,6,2200000,1010000,No,No,No,No,Yes
569,1650000,El Viso,260,8,4,Yes,Yes,No,0,2617407,967407,Yes,Yes,Yes,No,No
1002,990800,Vallehermoso,132,2,2,Yes,Yes,Yes,0,1950000,959200,Yes,Yes,No,No,Yes
3078,1037700,Argüelles,111,2,2,Yes,Yes,Yes,8,1995000,957300,No,Yes,No,No,Yes
3266,1850000,Jerónimos,247,2,2,No,Yes,Yes,3,2800000,950000,Yes,Yes,No,No,Yes
278,1350000,Recoletos,215,4,3,Yes,Yes,No,1,2291900,941900,Yes,Yes,No,No,Yes
1839,940000,Universidad,166,5,5,Yes,Yes,No,1,1850000,910000,No,No,No,No,Yes
516,1590000,Recoletos,153,3,2,Yes,Yes,No,4,2500000,910000,No,No,No,No,Yes
11005,980000,San Juan Bautista,157,3,2,Yes,Yes,Yes,8,1850000,870000,Yes,Yes,No,No,Yes
2615,870000,Goya,126,3,2,Yes,Yes,No,6,1700000,830000,Yes,Yes,No,No,Yes
4927,1500000,Jerónimos,148,2,2,Yes,Yes,No,1,2290500,790500,No,No,No,No,Yes
2704,795000,Castellana,120,3,2,Yes,Yes,No,3,1585000,790000,No,Yes,No,No,Yes
2272,1095000,Lista,224,5,3,No,Yes,No,4,1875000,780000,No,Yes,No,No,Yes
1205,1200000,Universidad,204,4,3,No,Yes,No,3,1975000,775000,Yes,No,No,No,Yes
280,2200000,Recoletos,247,3,3,Yes,Yes,No,3,2975000,775000,No,No,No,No,Yes
1371,829000,Universidad,123,2,2,Yes,Yes,No,1,1600000,771000,No,No,No,No,Yes
2942,1100000,Estrella,222,4,4,No,Yes,No,0,1850000,750000,No,No,No,No,No
2265,930000,Castellana,136,3,3,Yes,Yes,No,2,1680000,750000,No,No,No,No,Yes
1686,2100000,Justicia,180,4,4,No,Yes,No,1,2800000,700000,No,No,No,No,Yes
1410,900000,Universidad,174,4,4,Yes,Yes,No,1,1600000,700000,No,No,No,No,Yes
1304,1275000,Justicia,175,3,3,No,Yes,No,3,1970000,695000,No,No,No,No,Yes
2583,1520000,Goya,110,2,2,No,Yes,Yes,0,2200000,680000,No,Yes,No,No,Yes
816,1030000,Vallehermoso,234,5,3,No,Yes,No,4,1690000,660000,No,Yes,No,No,Yes
7175,1135200,Aravaca,192,4,4,Yes,No,No,2,1790000,654800,Yes,Yes,No,No,Yes
124,1550000,Recoletos,211,3,3,Yes,Yes,No,1,2200000,650000,No,No,No,No,Yes
1760,650000,Universidad,127,3,2,Yes,Yes,No,1,1300000,650000,No,No,No,No,Yes
1199,840000,Justicia,94,3,2,No,Yes,No,4,1460000,620000,No,No,No,No,No
6243,990000,Cuatro Caminos,362,6,4,No,Yes,No,3,1596667,606667,Yes,No,No,No,Yes
3236,780000,Ibiza,147,3,2,Yes,Yes,No,6,1384000,604000,No,Yes,No,No,Yes
546,790000,El Viso,95,2,2,Yes,Yes,No,2,1390000,600000,No,No,No,No,Yes
519,1550000,Goya,230,3,3,Yes,Yes,No,1,2150000,600000,No,No,No,No,Yes
7010,1850000,Valdemarín,336,4,5,Yes,No,Yes,0,2440000,590000,Yes,Yes,Yes,Yes,No
1434,615000,Sol,151,2,2,No,Yes,No,2,1180000,565000,No,No,No,No,Yes
1302,750000,Universidad,129,3,2,Yes,Yes,No,1,1315000,565000,No,No,No,No,Yes
397,1350000,Recoletos,130,2,2,No,Yes,No,6,1900000,550000,No,Yes,No,No,No
7080,730000,Casa de Campo,225,5,4,No,No,No,0,1275000,545000,Yes,Yes,Yes,Yes,No
2743,1519000,Castellana,250,4,3,No,Yes,No,4,2055000,536000,Yes,No,No,No,Yes
4359,715000,Embajadores,166,4,2,Yes,Yes,No,1,1250000,535000,No,No,No,No,Yes
194,1150000,Recoletos,128,2,2,Yes,Yes,No,3,1674444,524444,Yes,No,No,No,Yes
2995,1320000,Casa de Campo,245,5,3,No,No,No,0,1840000,520000,Yes,No,Yes,Yes,No
297,3450000,Recoletos,251,3,4,Yes,Yes,No,4,3970000,520000,No,No,No,No,Yes
736,750000,El Viso,97,1,1,Yes,Yes,Yes,1,1270000,520000,No,Yes,No,No,Yes
2236,785000,Palacio,178,2,2,Yes,Yes,No,3,1300000,515000,Yes,No,No,No,Yes
797,740000,El Viso,129,4,2,No,Yes,No,3,1254000,514000,No,No,No,No,Yes
7059,890000,Valdemarín,159,4,3,Yes,No,Yes,1,1400000,510000,Yes,Yes,No,No,Yes
578,640000,Prosperidad,133,3,2,Yes,Yes,No,4,1148900,508900,No,Yes,No,No,Yes
3526,695000,Goya,112,2,2,No,Yes,No,3,1178000,483000,No,No,No,No,Yes
394,1475000,Recoletos,190,4,3,Yes,Yes,No,2,1950000,475000,No,Yes,No,No,Yes
3240,1100000,Goya,130,2,3,Yes,Yes,No,5,1575000,475000,Yes,No,No,No,Yes
1103,1830000,Almagro,288,5,4,No,Yes,No,4,2300000,470000,No,Yes,No,No,Yes
31,800000,Goya,155,3,3,Yes,Yes,No,3,1270000,470000,No,No,No,No,Yes
1475,730000,Justicia,86,1,1,No,Yes,No,5,1195000,465000,No,No,No,No,Yes
650,1498000,El Viso,184,4,4,Yes,Yes,No,6,1950000,452000,Yes,Yes,No,No,Yes
2718,1390000,Castellana,241,3,3,Yes,Yes,No,1,1840000,450000,No,No,No,No,Yes
6259,650000,Cuatro Caminos,136,4,3,Yes,Yes,No,1,1100000,450000,No,No,No,No,Yes
941,1080000,Vallehermoso,237,3,3,Yes,Yes,No,3,1491000,411000,No,Yes,No,No,Yes
2915,460000,Estrella,130,4,2,No,Yes,No,4,862667,402667,No,Yes,No,No,Yes
1502,1150000,Universidad,182,4,3,No,Yes,No,1,1550000,400000,No,No,No,No,Yes
1030,1900000,Almagro,288,6,4,No,Yes,No,4,2300000,400000,Yes,No,No,No,No
894,470000,Ríos Rosas,89,4,1,No,Yes,No,0,866698,396698,No,No,No,No,No
1796,485000,Universidad,78,1,1,Yes,Yes,No,3,880247,395247,No,No,No,No,Yes
4752,464000,Sol,120,2,2,No,Yes,No,5,849002,385002,No,No,No,No,Yes
3017,895000,Argüelles,194,4,2,No,Yes,No,4,1280000,385000,No,No,No,No,Yes
3285,1137700,Goya,162,3,2,Yes,Yes,No,2,1520000,382300,No,No,No,No,Yes
1179,1150000,Universidad,182,4,3,No,Yes,No,1,1525000,375000,No,No,No,No,Yes
11817,395000,Valverde,94,2,2,No,Yes,No,1,769631,374631,Yes,No,No,No,Yes
4352,500000,Cortes,120,3,2,No,Yes,No,1,874465,374465,No,Yes,No,No,Yes
4034,2030000,Almagro,250,3,4,No,Yes,No,2,2400000,370000,No,No,No,No,Yes
1112,550000,Ríos Rosas,143,5,2,No,Yes,No,1,910159,360159,Yes,No,No,No,No
4704,1320000,Sol,150,2,2,Yes,Yes,No,6,1680000,360000,No,Yes,No,No,Yes
4781,890000,Universidad,165,4,3,Yes,Yes,No,5,1250000,360000,No,No,No,No,Yes
3504,525000,Goya,89,3,2,No,Yes,No,1,883021,358021,No,No,No,No,Yes
1027,399000,Ríos Rosas,72,2,2,No,Yes,No,0,756401,357401,No,Yes,No,No,No
25,415000,Justicia,52,1,1,No,Yes,No,3,768420,353420,No,No,No,No,Yes
3730,899000,Almagro,166,3,2,Yes,Yes,No,3,1250000,351000,No,No,No,No,Yes
3525,395000,Goya,50,2,2,No,Yes,No,3,745252,350252,No,No,No,No,No
203,800000,Goya,101,2,2,Yes,Yes,No,3,1150000,350000,Yes,No,No,No,Yes
2014,870000,Palacio,164,3,2,Yes,Yes,No,4,1220000,350000,No,No,No,No,Yes
2831,830000,Pacífico,242,6,4,Yes,Yes,Yes,4,1180000,350000,Yes,No,No,No,Yes
1131,440000,Ríos Rosas,53,2,2,No,Yes,No,5,779795,339795,No,Yes,No,No,Yes
1440,670000,Universidad,176,4,3,No,Yes,No,1,1008580,338580,Yes,No,No,No,Yes
1904,419500,Palacio,58,2,2,No,Yes,No,4,749657,330157,No,No,No,No,No
7179,950000,Valdemarín,215,5,3,Yes,No,No,1,1280000,330000,Yes,Yes,No,No,Yes
2514,825000,Castellana,116,3,2,Yes,Yes,No,3,1148500,323500,No,No,No,No,Yes
2565,570000,Lista,145,4,2,No,Yes,No,5,886706,316706,No,Yes,No,No,No
4024,350000,Almagro,70,2,1,No,Yes,No,0,659799,309799,No,No,No,No,No
2960,487000,Adelfas,65,1,1,Yes,Yes,Yes,7,795437,308437,Yes,Yes,No,No,Yes
6234,795000,Cuatro Caminos,181,5,3,No,Yes,No,4,1100000,305000,Yes,No,No,No,Yes
4720,440000,Palacio,75,1,1,No,Yes,No,4,742402,302402,No,No,No,No,No
2255,1495000,El Viso,230,3,4,Yes,Yes,No,0,1797338,302338,No,Yes,No,No,Yes
13,850000,Recoletos,102,2,2,No,Yes,No,4,1150000,300000,Yes,Yes,No,No,No
2865,598000,Pacífico,125,3,2,Yes,Yes,Yes,2,896534,298534,Yes,No,No,No,Yes
2886,485000,Adelfas,103,3,2,Yes,Yes,Yes,4,782871,297871,No,No,No,No,Yes
10735,325100,Alameda de Osuna,127,4,2,No,Yes,No,1,622537,297437,No,Yes,No,No,Yes
2566,435000,Lista,55,2,2,No,Yes,No,1,730668,295668,No,No,No,No,No
3979,430000,Trafalgar,122,3,2,No,Yes,No,0,724611,294611,No,No,No,No,Yes
3158,370000,Universidad,76,3,2,No,Yes,No,5,661289,291289,No,No,No,No,No
2982,298500,Pacífico,47,1,1,No,Yes,No,0,589304,290804,No,Yes,No,No,Yes
1726,297000,Universidad,56,1,1,No,Yes,No,0,582723,285723,No,No,No,No,No
2038,295000,Las Acacias,85,2,2,No,Yes,No,-1,578191,283191,No,No,No,No,No
3272,480000,Ibiza,118,2,2,No,Yes,No,1,763104,283104,No,No,No,No,No
4678,495000,Sol,150,4,2,No,Yes,No,1,775512,280512,No,No,No,No,Yes
10761,420700,Timón,111,3,2,No,Yes,Yes,2,700155,279455,Yes,Yes,No,No,Yes
4306,640000,Embajadores,125,3,2,Yes,Yes,No,7,916693,276693,No,Yes,No,No,Yes
4684,399000,Sol,53,1,1,No,Yes,No,2,669025,270025,No,No,No,No,No
2436,398000,Castellana,80,2,2,No,Yes,No,0,664798,266798,No,Yes,No,No,No
3066,345000,Argüelles,70,3,1,No,Yes,No,4,608041,263041,No,No,No,No,Yes
1441,490000,Universidad,100,2,2,No,Yes,No,-1,752500,262500,No,No,No,No,Yes
10776,420700,Timón,138,3,2,No,Yes,Yes,2,681937,261237,No,No,No,No,No
2951,456490,Niño Jesús,103,2,2,Yes,Yes,No,6,705668,249178,No,No,No,No,Yes
11976,309700,Casco Histórico de Vallecas,103,3,2,No,Yes,Yes,0,556055,246355,Yes,No,No,No,Yes
4461,259000,Sol,77,3,1,No,Yes,No,1,502187,243187,No,No,No,No,No
4765,390000,Palacio,90,4,2,No,Yes,No,2,632198,242198,No,No,No,No,No
1236,470000,Universidad,133,2,1,No,Yes,No,3,710321,240321,No,No,No,No,Yes
4809,350000,Palacio,76,1,1,No,Yes,No,3,588886,238886,No,No,No,No,Yes
4616,339900,Embajadores,83,1,1,No,Yes,No,3,577918,238018,No,No,No,No,Yes
11499,384940,Las Acacias,78,3,1,No,Yes,No,4,620017,235077,No,No,No,No,Yes
879,398000,Ríos Rosas,89,1,1,No,Yes,No,3,632869,234869,No,No,No,No,Yes
3221,870000,Argüelles,194,3,3,No,Yes,No,1,1100000,230000,No,No,No,No,No
3133,1250000,Casa de Campo,291,4,2,No,Yes,No,1,1480000,230000,Yes,No,No,No,Yes
10935,289000,Canillas,119,3,1,No,Yes,No,2,518216,229216,No,No,No,No,Yes
2396,269000,Goya,35,2,1,No,Yes,No,7,497565,228565,No,No,No,No,No
10705,246000,Casco Histórico de Barajas,64,2,2,No,Yes,No,2,472393,226393,No,No,No,No,Yes
5007,330000,Cortes,65,2,1,No,Yes,No,1,555614,225614,No,No,No,No,Yes
4233,269000,Lucero,81,4,2,No,Yes,No,4,490391,221391,No,No,No,No,Yes
1063,695000,Vallehermoso,110,2,2,Yes,Yes,No,10,912960,217960,No,Yes,No,No,Yes
